iteration,version,avg_candidate_delay_ps,avg_delay_delta_ps,avg_delay_delta_pct,avg_candidate_area,avg_area_delta,avg_area_delta_pct,geomean_candidate_area,improved_delay_count
0,stmap0,464.4325,5.8174999999999955,1.2684931805544946,9411.039999999999,-551.3575000000001,-5.534385673729643,6116.143230053733,1
1,stmap1,443.775,-14.840000000000032,-3.2358296174351104,9985.26,22.86250000000109,0.22948793199630002,6421.325156817931,3
2,stmap2,450.8975,-7.71750000000003,-1.6827840345387808,10107.615,145.21750000000065,1.4576561515438495,6480.742151772259,2
3,stmap3,465.4475,6.832499999999982,1.489811715709251,10201.625,239.22750000000087,2.401304505265935,6442.434344686939,1
4,stmap4,458.66499999999996,0.049999999999954525,0.01090239089431321,9566.2875,-396.10999999999876,-3.97605094556806,6249.973291262618,2
5,stmap5,444.66499999999996,-13.950000000000045,-3.041767059516162,9569.205,-393.1924999999992,-3.9467658261979532,6239.896018754437,4
6,stmap6,453.28499999999997,-5.330000000000041,-1.162194869334854,9423.7525,-538.6449999999986,-5.406780847682485,6140.454703344059,4
7,stmap7,447.74,-10.875,-2.3712700195152796,9769.3,-193.09749999999985,-1.9382633547798096,6272.224854779967,3
8,stmap8,448.16499999999996,-10.450000000000045,-2.278599696913543,9764.4025,-197.99499999999898,-1.987423208118317,6270.429860926926,4
9,stmap9,443.6825,-14.932500000000005,-3.2559990405896024,9754.0775,-208.3199999999997,-2.0910629193424546,6278.541333834965,4
10,stmap10,443.71999999999997,-14.895000000000039,-3.2478222474188674,9753.085000000001,-209.31249999999818,-2.101025380687713,6277.269113233994,4
11,stmap11,443.1925,-15.422500000000014,-3.3628424713539706,9752.97,-209.42749999999978,-2.1021797212970053,6277.121652266814,4
12,stmap12,442.695,-15.920000000000016,-3.4713212607524864,9767.785,-194.61249999999927,-1.9534705375889618,6281.875046074654,4
13,stmap13,442.695,-15.920000000000016,-3.4713212607524864,9767.785,-194.61249999999927,-1.9534705375889618,6281.875046074654,4
14,stmap14,448.14,-10.475000000000023,-2.2840508923606997,9761.252499999999,-201.14500000000044,-2.0190421030680663,6269.513822054866,4
15,stmap15,448.41499999999996,-10.200000000000045,-2.2240877424419274,9758.045,-204.35249999999905,-2.051238168322425,6268.580649066293,4
16,stmap16,448.41499999999996,-10.200000000000045,-2.2240877424419274,9758.045,-204.35249999999905,-2.051238168322425,6268.580649066293,4
17,stmap17,448.41499999999996,-10.200000000000045,-2.2240877424419274,9758.045,-204.35249999999905,-2.051238168322425,6268.580649066293,4
18,stmap18,448.41499999999996,-10.200000000000045,-2.2240877424419274,9758.045,-204.35249999999905,-2.051238168322425,6268.580649066293,4
19,stmap19,444.385,-14.230000000000018,-3.102820448524365,9754.72,-207.67749999999978,-2.0846136685471524,6278.061064522126,4
20,stmap20,444.10249999999996,-14.512500000000045,-3.164418957077297,9768.5425,-193.85499999999956,-1.9458669461843856,6282.0959652253,4
21,stmap21,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
22,stmap22,443.445,-15.170000000000016,-3.3077853973376397,9782.715,-179.68249999999898,-1.8036070132716446,6286.224977148166,4
23,stmap23,443.445,-15.170000000000016,-3.3077853973376397,9782.715,-179.68249999999898,-1.8036070132716446,6286.224977148166,4
24,stmap24,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
25,stmap25,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
26,stmap26,443.445,-15.170000000000016,-3.3077853973376397,9782.715,-179.68249999999898,-1.8036070132716446,6286.224977148166,4
27,stmap27,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
28,stmap28,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
29,stmap29,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
30,stmap30,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
31,stmap31,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
32,stmap32,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
33,stmap33,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
34,stmap34,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
35,stmap35,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
36,stmap36,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
37,stmap37,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
38,stmap38,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
39,stmap39,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
40,stmap40,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
41,stmap41,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
42,stmap42,443.29999999999995,-15.315000000000055,-3.339402330931185,9768.602499999999,-193.79500000000007,-1.9452646815186816,6282.11346277576,4
43,stmap43,443.445,-15.170000000000016,-3.3077853973376397,9782.715,-179.68249999999898,-1.8036070132716446,6286.224977148166,4
44,stmap44,443.445,-15.170000000000016,-3.3077853973376397,9782.715,-179.68249999999898,-1.8036070132716446,6286.224977148166,4
45,stmap45,443.9625,-14.652500000000032,-3.1949456515813988,9768.135,-194.2624999999989,-1.9499573270389876,6281.977123826367,4
46,stmap46,444.10249999999996,-14.512500000000045,-3.164418957077297,9768.5425,-193.85499999999956,-1.9458669461843856,6282.0959652253,4
47,stmap47,444.03,-14.585000000000036,-3.1802274238740633,10471.9975,509.60000000000036,5.115234560757091,6552.203196508814,4
48,stmap48,441.76,-16.855000000000018,-3.6751959704763295,10192.88,230.48250000000007,2.3135244302388065,6402.347233080717,4
49,stmap49,440.43499999999995,-18.180000000000064,-3.964109329175902,9941.17,-21.227499999999054,-0.21307621985570296,6331.844738403841,4
50,stmap50,442.245,-16.370000000000005,-3.5694427788013923,9835.2025,-127.19499999999971,-1.276750902581429,6301.446236478383,4
51,stmap51,447.025,-11.590000000000032,-2.5271742093041074,9965.255,2.8575000000000728,0.02868285470440296,6338.693197529317,4
52,stmap52,440.43499999999995,-18.180000000000064,-3.964109329175902,9941.17,-21.227499999999054,-0.21307621985570296,6331.844738403841,4
53,stmap53,440.43499999999995,-18.180000000000064,-3.964109329175902,9941.17,-21.227499999999054,-0.21307621985570296,6331.844738403841,4
54,stmap54,440.34499999999997,-18.27000000000004,-3.983733632785678,9942.8025,-19.594999999999345,-0.1966896020762005,6332.309634722004,4
55,stmap55,440.43499999999995,-18.180000000000064,-3.964109329175902,9941.17,-21.227499999999054,-0.21307621985570296,6331.844738403841,4
56,stmap56,440.34499999999997,-18.27000000000004,-3.983733632785678,9942.8025,-19.594999999999345,-0.1966896020762005,6332.309634722004,4
57,stmap57,440.43499999999995,-18.180000000000064,-3.964109329175902,9941.17,-21.227499999999054,-0.21307621985570296,6331.844738403841,4
58,stmap58,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
59,stmap59,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
60,stmap60,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
61,stmap61,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
62,stmap62,441.07,-17.545000000000016,-3.825648964817988,9928.2825,-34.11499999999978,-0.3424376511778393,6328.171091592298,4
63,stmap63,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
64,stmap64,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
65,stmap65,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
66,stmap66,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
67,stmap67,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
68,stmap68,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
69,stmap69,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
70,stmap70,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
71,stmap71,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
72,stmap72,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
73,stmap73,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
74,stmap74,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
75,stmap75,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
76,stmap76,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
77,stmap77,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
78,stmap78,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
79,stmap79,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
80,stmap80,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
81,stmap81,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
82,stmap82,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
83,stmap83,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
84,stmap84,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
85,stmap85,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
86,stmap86,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
87,stmap87,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
88,stmap88,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
89,stmap89,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
90,stmap90,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
91,stmap91,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
92,stmap92,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
93,stmap93,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
94,stmap94,440.505,-18.110000000000014,-3.9488459819238386,9934.055,-28.342499999998836,-0.28449477146438734,6329.817362689263,4
95,stmap95,442.005,-16.610000000000014,-3.621774255094145,9925.365,-37.032499999999345,-0.3717227705479464,6318.550456661678,4
96,stmap96,441.3175,-17.297500000000014,-3.771682129891088,9924.9575,-37.43999999999869,-0.3758131514025484,6318.020636382572,4
