benchmark,index,reason,profile_open,node,level,refs,leaves,phase,slack,area_save,arrival_delta,arrival_gain_margin,area_margin,one_inv_area
benchmarks/syn2.abc.blif,1,depth-gate,0,2318,29,5,4,0,7.430023,0.930000,-10.130005,1.585000,1.400000,0.700000
benchmarks/syn2.abc.blif,2,depth-gate,0,2318,29,5,4,0,7.430023,0.930000,-10.130005,1.585000,1.400000,0.700000
benchmarks/syn2.abc.blif,3,arrival-gate,0,5785,44,4,4,0,10.839981,0.930000,-0.800003,1.585000,1.400000,0.700000
benchmarks/syn2.abc.blif,4,depth-gate,0,5785,44,4,4,1,7.619980,0.930000,-2.760010,1.585000,1.400000,0.700000
benchmarks/syn2.abc.blif,5,arrival-gate,0,5785,44,4,5,1,7.619980,0.930000,-1.260010,1.585000,1.400000,0.700000
benchmarks/syn2.abc.blif,6,depth-gate,0,21363,49,4,4,0,11.790039,0.930000,-8.349991,1.585000,1.400000,0.700000
benchmarks/syn2.abc.blif,7,depth-gate,0,23628,38,4,4,0,6.520020,0.930000,-1.750000,1.585000,1.400000,0.700000
benchmarks/syn2.abc.blif,8,arrival-gate,0,23628,38,4,4,1,7.550034,1.170000,-1.049988,1.585000,1.400000,0.700000
benchmarks/syn2.abc.blif,9,arrival-gate,0,23628,38,4,5,1,7.550034,1.170000,-0.029999,1.585000,1.400000,0.700000
benchmarks/syn2.abc.blif,10,depth-gate,0,23673,37,4,5,1,7.850021,0.930000,-11.840012,1.585000,1.400000,0.700000
benchmarks/syn2.abc.blif,11,arrival-gate,0,27904,57,4,5,1,9.659973,0.930000,-1.459991,1.585000,1.400000,0.700000
benchmarks/syn2.abc.blif,12,depth-gate,0,35068,45,4,4,0,11.949997,0.930000,-2.119980,1.585000,1.400000,0.700000
benchmarks/syn2.abc.blif,13,depth-gate,0,35068,45,4,4,0,11.949997,0.930000,-2.119980,1.585000,1.400000,0.700000
benchmarks/syn2.abc.blif,14,depth-gate,0,37979,42,5,4,1,7.170013,0.930000,-3.699997,1.585000,1.400000,0.700000
benchmarks/syn2.abc.blif,15,depth-gate,0,37979,42,5,4,1,7.170013,0.930000,-3.699997,1.585000,1.400000,0.700000
benchmarks/syn2.abc.blif,16,depth-gate,0,37979,42,5,5,1,7.170013,0.930000,-2.199997,1.585000,1.400000,0.700000
