benchmark,rank,aig_id,mapped_node,local_load_ratio
benchmarks/i10.aig,1,627,557,1.544
benchmarks/i10.aig,2,560,513,1.312
benchmarks/i10.aig,3,571,518,1.312
benchmarks/i10.aig,4,623,554,1.312
benchmarks/i10.aig,5,626,556,1.312
benchmarks/i10.aig,6,600,573,1.072
benchmarks/ode.abc.blif,1,5261,4982,8.715
benchmarks/ode.abc.blif,2,27435,13812,7.526
benchmarks/ode.abc.blif,3,5260,4981,7.408
benchmarks/ode.abc.blif,4,5238,4977,7.408
benchmarks/ode.abc.blif,5,27400,13789,6.398
benchmarks/ode.abc.blif,6,27434,13811,6.398
benchmarks/ode.abc.blif,7,5232,5062,6.158
benchmarks/ode.abc.blif,8,5228,4986,5.234
benchmarks/ode.abc.blif,9,5231,4989,5.234
benchmarks/ode.abc.blif,10,22156,11239,4.974
benchmarks/or1200.abc.blif,1,4700,3991,10.805
benchmarks/or1200.abc.blif,2,4699,3990,9.184
benchmarks/or1200.abc.blif,3,4686,3984,9.184
benchmarks/or1200.abc.blif,4,4718,4001,9.036
benchmarks/or1200.abc.blif,5,4717,4000,7.68
benchmarks/or1200.abc.blif,6,3110,3131,5.233
benchmarks/or1200.abc.blif,7,4677,3977,4.92
benchmarks/or1200.abc.blif,8,4711,3998,4.92
benchmarks/or1200.abc.blif,9,4707,3995,4.92
benchmarks/or1200.abc.blif,10,12578,7130,2.764
benchmarks/syn2.abc.blif,1,41263,20772,11.716
benchmarks/syn2.abc.blif,2,29732,16040,11.445
benchmarks/syn2.abc.blif,3,19036,11524,10.836
benchmarks/syn2.abc.blif,4,19094,11554,10.67
benchmarks/syn2.abc.blif,5,41242,20805,10.332
benchmarks/syn2.abc.blif,6,9145,7336,10.037
benchmarks/syn2.abc.blif,7,41262,20771,9.959
benchmarks/syn2.abc.blif,8,41261,20766,9.959
benchmarks/syn2.abc.blif,9,29717,15957,9.729
benchmarks/syn2.abc.blif,10,29723,16001,9.729
