benchmark,fanouts,gate,load,load_ratio,max_cap,node,rank
benchmarks/i10.aig,40,A2O1A1Ixp33_ASAP7_75t_L,17.782,1.544,11.52,557,1
benchmarks/i10.aig,36,O2A1O1Ixp33_ASAP7_75t_L,15.877,1.378,11.52,709,2
benchmarks/i10.aig,26,NAND5xp2_ASAP7_75t_L,12.348,1.072,11.52,573,3
benchmarks/i10.aig,25,AOI311xp33_ASAP7_75t_L,10.838,0.941,11.52,513,4
benchmarks/i10.aig,21,NOR2xp33_ASAP7_75t_L,9.378,0.814,11.52,529,5
benchmarks/ode.abc.blif,229,NOR2xp33_ASAP7_75t_L,100.399,8.715,11.52,4982,1
benchmarks/ode.abc.blif,177,NOR2xp33_ASAP7_75t_L,86.705,7.526,11.52,13812,2
benchmarks/ode.abc.blif,161,NOR2xp33_ASAP7_75t_L,70.939,6.158,11.52,5062,3
benchmarks/ode.abc.blif,119,NAND2xp33_ASAP7_75t_L,57.296,4.974,11.52,11239,4
benchmarks/ode.abc.blif,124,NAND2xp33_ASAP7_75t_L,57.197,4.965,11.52,12310,5
benchmarks/or1200.abc.blif,250,NOR2xp33_ASAP7_75t_L,124.469,10.805,11.52,3991,1
benchmarks/or1200.abc.blif,250,NOR2xp33_ASAP7_75t_L,104.093,9.036,11.52,4001,2
benchmarks/or1200.abc.blif,131,NOR4xp25_ASAP7_75t_L,66.687,5.789,11.52,3999,3
benchmarks/or1200.abc.blif,131,NOR2xp33_ASAP7_75t_L,60.286,5.233,11.52,3131,4
benchmarks/or1200.abc.blif,64,NAND2xp33_ASAP7_75t_L,31.846,2.764,11.52,7130,5
benchmarks/syn2.abc.blif,306,NAND2xp33_ASAP7_75t_L,134.97,11.716,11.52,20772,1
benchmarks/syn2.abc.blif,300,NOR2xp33_ASAP7_75t_L,131.852,11.445,11.52,16040,2
benchmarks/syn2.abc.blif,289,NAND2xp33_ASAP7_75t_L,124.835,10.836,11.52,11524,3
benchmarks/syn2.abc.blif,277,NOR2xp33_ASAP7_75t_L,122.915,10.67,11.52,11554,4
benchmarks/syn2.abc.blif,283,AOI22xp33_ASAP7_75t_L,122.35,10.621,11.52,11476,5
