benchmark,aig_id,local_load_ratio,mapped_node,rank
benchmarks/i10.aig,627,1.544,557,1
benchmarks/i10.aig,560,1.312,513,2
benchmarks/i10.aig,571,1.312,518,3
benchmarks/i10.aig,623,1.312,554,4
benchmarks/i10.aig,626,1.312,556,5
benchmarks/i10.aig,628,1.081,558,6
benchmarks/i10.aig,856,1.081,656,7
benchmarks/i10.aig,1062,1.081,665,8
benchmarks/i10.aig,950,1.081,690,9
benchmarks/i10.aig,995,1.081,708,10
benchmarks/ode.abc.blif,5261,8.715,4982,1
benchmarks/ode.abc.blif,27435,7.526,13812,2
benchmarks/ode.abc.blif,5260,7.408,4981,3
benchmarks/ode.abc.blif,5238,7.408,4977,4
benchmarks/ode.abc.blif,27400,6.398,13789,5
benchmarks/ode.abc.blif,27434,6.398,13811,6
benchmarks/ode.abc.blif,5232,6.158,5062,7
benchmarks/ode.abc.blif,5347,6.101,5066,8
benchmarks/ode.abc.blif,5350,6.101,5067,9
benchmarks/ode.abc.blif,5336,6.101,5069,10
benchmarks/or1200.abc.blif,4700,10.805,3991,1
benchmarks/or1200.abc.blif,4699,9.184,3990,2
benchmarks/or1200.abc.blif,4686,9.184,3984,3
benchmarks/or1200.abc.blif,4718,9.036,4001,4
benchmarks/or1200.abc.blif,4717,7.68,4000,5
benchmarks/or1200.abc.blif,12537,7.563,7116,6
benchmarks/or1200.abc.blif,12639,7.563,7144,7
benchmarks/or1200.abc.blif,12917,7.563,7231,8
benchmarks/or1200.abc.blif,12920,7.563,7233,9
benchmarks/or1200.abc.blif,12947,7.563,7239,10
benchmarks/syn2.abc.blif,41263,11.716,20772,1
benchmarks/syn2.abc.blif,29732,11.445,16040,2
benchmarks/syn2.abc.blif,19036,10.836,11524,3
benchmarks/syn2.abc.blif,19094,10.67,11554,4
benchmarks/syn2.abc.blif,41242,10.332,20805,5
benchmarks/syn2.abc.blif,9145,10.037,7336,6
benchmarks/syn2.abc.blif,41262,9.959,20771,7
benchmarks/syn2.abc.blif,41261,9.959,20766,8
benchmarks/syn2.abc.blif,29717,9.729,15957,9
benchmarks/syn2.abc.blif,29723,9.729,16001,10
