benchmark,rank,aig_id,mapped_node,consumer_load_ratio
benchmarks/i10.aig,1,628,558,1.544
benchmarks/i10.aig,2,856,656,1.544
benchmarks/i10.aig,3,1062,665,1.544
benchmarks/i10.aig,4,950,690,1.544
benchmarks/i10.aig,5,995,708,1.544
benchmarks/i10.aig,6,777,769,1.544
benchmarks/i10.aig,7,946,783,1.544
benchmarks/i10.aig,8,963,798,1.544
benchmarks/i10.aig,9,819,892,1.544
benchmarks/i10.aig,10,841,902,1.544
benchmarks/ode.abc.blif,1,5367,5000,8.715
benchmarks/ode.abc.blif,2,5262,5010,8.715
benchmarks/ode.abc.blif,3,5277,5025,8.715
benchmarks/ode.abc.blif,4,5333,5064,8.715
benchmarks/ode.abc.blif,5,5347,5066,8.715
benchmarks/ode.abc.blif,6,5350,5067,8.715
benchmarks/ode.abc.blif,7,5336,5069,8.715
benchmarks/ode.abc.blif,8,5749,5243,8.715
benchmarks/ode.abc.blif,9,5730,5251,8.715
benchmarks/ode.abc.blif,10,5771,5262,8.715
benchmarks/or1200.abc.blif,1,4700,3992,10.805
benchmarks/or1200.abc.blif,2,12394,7058,10.805
benchmarks/or1200.abc.blif,3,12510,7106,10.805
benchmarks/or1200.abc.blif,4,12537,7116,10.805
benchmarks/or1200.abc.blif,5,12639,7144,10.805
benchmarks/or1200.abc.blif,6,12917,7231,10.805
benchmarks/or1200.abc.blif,7,12920,7233,10.805
benchmarks/or1200.abc.blif,8,12947,7239,10.805
benchmarks/or1200.abc.blif,9,12970,7245,10.805
benchmarks/or1200.abc.blif,10,12976,7247,10.805
benchmarks/syn2.abc.blif,1,41285,20785,11.716
benchmarks/syn2.abc.blif,2,41299,20799,11.716
benchmarks/syn2.abc.blif,3,41338,20823,11.716
benchmarks/syn2.abc.blif,4,41335,20832,11.716
benchmarks/syn2.abc.blif,5,41359,20841,11.716
benchmarks/syn2.abc.blif,6,41371,20845,11.716
benchmarks/syn2.abc.blif,7,41374,20846,11.716
benchmarks/syn2.abc.blif,8,41366,20847,11.716
benchmarks/syn2.abc.blif,9,41368,20849,11.716
benchmarks/syn2.abc.blif,10,41386,20858,11.716
