benchmark,rank,aig_id,mapped_node,critical_pressure_ratio
benchmarks/i10.aig,1,856,656,1.544
benchmarks/i10.aig,2,777,769,1.498
benchmarks/i10.aig,3,946,783,1.489
benchmarks/i10.aig,4,950,690,1.467
benchmarks/i10.aig,5,1023,919,1.450
benchmarks/i10.aig,6,829,1003,1.448
benchmarks/i10.aig,7,1019,921,1.436
benchmarks/i10.aig,8,841,902,1.417
benchmarks/i10.aig,9,970,1166,1.408
benchmarks/i10.aig,10,963,798,1.390
benchmarks/ode.abc.blif,1,5262,5010,8.715
benchmarks/ode.abc.blif,2,5277,5025,8.217
benchmarks/ode.abc.blif,3,5261,4982,7.844
benchmarks/ode.abc.blif,4,5741,6125,6.903
benchmarks/ode.abc.blif,5,5736,6123,5.969
benchmarks/ode.abc.blif,6,5304,5300,5.909
benchmarks/ode.abc.blif,7,5238,4977,5.846
benchmarks/ode.abc.blif,8,4728,4664,5.846
benchmarks/ode.abc.blif,9,5224,4965,5.846
benchmarks/ode.abc.blif,10,5295,5362,5.752
benchmarks/or1200.abc.blif,1,4700,3992,10.805
benchmarks/or1200.abc.blif,2,12394,7058,10.669
benchmarks/or1200.abc.blif,3,19153,10289,10.669
benchmarks/or1200.abc.blif,4,19363,10371,10.669
benchmarks/or1200.abc.blif,5,20298,10711,10.669
benchmarks/or1200.abc.blif,6,20338,10725,10.669
benchmarks/or1200.abc.blif,7,20347,10727,10.669
benchmarks/or1200.abc.blif,8,20356,10729,10.669
benchmarks/or1200.abc.blif,9,20379,10736,10.669
benchmarks/or1200.abc.blif,10,20388,10738,10.669
benchmarks/syn2.abc.blif,1,9165,7343,9.203
benchmarks/syn2.abc.blif,2,9135,7308,8.632
benchmarks/syn2.abc.blif,3,1245,6640,8.632
benchmarks/syn2.abc.blif,4,1263,6643,8.630
benchmarks/syn2.abc.blif,5,9135,7308,8.283
benchmarks/syn2.abc.blif,6,1281,6633,8.177
benchmarks/syn2.abc.blif,7,1149,6621,8.156
benchmarks/syn2.abc.blif,8,7644,6622,8.147
benchmarks/syn2.abc.blif,9,1227,6695,8.130
benchmarks/syn2.abc.blif,10,9166,7614,7.978
