benchmark,rank,aig_id,mapped_node,sink_pressure_ratio
benchmarks/i10.aig,1,856,656,1.544
benchmarks/i10.aig,2,777,769,1.514
benchmarks/i10.aig,3,946,783,1.508
benchmarks/i10.aig,4,950,690,1.494
benchmarks/i10.aig,5,1023,919,1.483
benchmarks/i10.aig,6,829,1003,1.481
benchmarks/i10.aig,7,1019,921,1.474
benchmarks/i10.aig,8,841,902,1.461
benchmarks/i10.aig,9,970,1166,1.456
benchmarks/i10.aig,10,963,798,1.444
benchmarks/ode.abc.blif,1,5262,5010,8.715
benchmarks/ode.abc.blif,2,5277,5025,8.391
benchmarks/ode.abc.blif,3,5261,4982,7.844
benchmarks/ode.abc.blif,4,5741,6125,7.537
benchmarks/ode.abc.blif,5,5251,5007,7.495
benchmarks/ode.abc.blif,6,5267,5021,7.222
benchmarks/ode.abc.blif,7,5304,5300,6.891
benchmarks/ode.abc.blif,8,5334,5274,6.503
benchmarks/ode.abc.blif,9,5730,6124,6.503
benchmarks/ode.abc.blif,10,5736,6123,6.503
benchmarks/or1200.abc.blif,1,4700,3992,10.805
benchmarks/or1200.abc.blif,2,12394,7058,10.716
benchmarks/or1200.abc.blif,3,19153,10289,10.716
benchmarks/or1200.abc.blif,4,19363,10371,10.716
benchmarks/or1200.abc.blif,5,20298,10711,10.716
benchmarks/or1200.abc.blif,6,20338,10725,10.716
benchmarks/or1200.abc.blif,7,20347,10727,10.716
benchmarks/or1200.abc.blif,8,20356,10729,10.716
benchmarks/or1200.abc.blif,9,20379,10736,10.716
benchmarks/or1200.abc.blif,10,20388,10738,10.716
benchmarks/syn2.abc.blif,1,9165,7343,9.203
benchmarks/syn2.abc.blif,2,10356,8201,8.569
benchmarks/syn2.abc.blif,3,9135,7308,8.283
benchmarks/syn2.abc.blif,4,9166,7614,7.978
benchmarks/syn2.abc.blif,5,9131,7305,7.915
benchmarks/syn2.abc.blif,6,16080,9405,7.860
benchmarks/syn2.abc.blif,7,19095,11619,7.794
benchmarks/syn2.abc.blif,8,19100,11611,7.770
benchmarks/syn2.abc.blif,9,19121,11605,7.707
benchmarks/syn2.abc.blif,10,15688,10070,7.506
