benchmark,rank,node,gate,fanouts,load,max_cap,load_ratio
benchmarks/i10.aig,1,557,A2O1A1Ixp33_ASAP7_75t_L,40,17.782,11.520,1.544
benchmarks/i10.aig,2,709,O2A1O1Ixp33_ASAP7_75t_L,36,15.877,11.520,1.378
benchmarks/i10.aig,3,573,NAND5xp2_ASAP7_75t_L,26,12.348,11.520,1.072
benchmarks/i10.aig,4,513,AOI311xp33_ASAP7_75t_L,25,10.838,11.520,0.941
benchmarks/i10.aig,5,529,NOR2xp33_ASAP7_75t_L,21,9.378,11.520,0.814
benchmarks/ode.abc.blif,1,4982,NOR2xp33_ASAP7_75t_L,229,100.399,11.520,8.715
benchmarks/ode.abc.blif,2,13812,NOR2xp33_ASAP7_75t_L,177,86.705,11.520,7.526
benchmarks/ode.abc.blif,3,5062,NOR2xp33_ASAP7_75t_L,161,70.939,11.520,6.158
benchmarks/ode.abc.blif,4,11239,NAND2xp33_ASAP7_75t_L,119,57.296,11.520,4.974
benchmarks/ode.abc.blif,5,12310,NAND2xp33_ASAP7_75t_L,124,57.197,11.520,4.965
benchmarks/or1200.abc.blif,1,3991,NOR2xp33_ASAP7_75t_L,250,124.469,11.520,10.805
benchmarks/or1200.abc.blif,2,4001,NOR2xp33_ASAP7_75t_L,250,104.093,11.520,9.036
benchmarks/or1200.abc.blif,3,3999,NOR4xp25_ASAP7_75t_L,131,66.687,11.520,5.789
benchmarks/or1200.abc.blif,4,3131,NOR2xp33_ASAP7_75t_L,131,60.286,11.520,5.233
benchmarks/or1200.abc.blif,5,7130,NAND2xp33_ASAP7_75t_L,64,31.846,11.520,2.764
benchmarks/syn2.abc.blif,1,20772,NAND2xp33_ASAP7_75t_L,305,134.535,11.520,11.678
benchmarks/syn2.abc.blif,2,16040,NOR2xp33_ASAP7_75t_L,300,131.852,11.520,11.445
benchmarks/syn2.abc.blif,3,11524,NAND2xp33_ASAP7_75t_L,289,124.835,11.520,10.836
benchmarks/syn2.abc.blif,4,11554,NOR2xp33_ASAP7_75t_L,277,122.915,11.520,10.670
benchmarks/syn2.abc.blif,5,11476,AOI22xp33_ASAP7_75t_L,283,122.350,11.520,10.621
