benchmark,index,watch_index,node,aig_id,phase,cached_node,via
benchmarks/i10.aig,6,0,612,855,0,809,"request
stmap77"
benchmarks/i10.aig,8,0,612,855,0,809,"request
stmap77"
benchmarks/i10.aig,10,0,612,855,1,756,"request
stmap77"
benchmarks/i10.aig,12,0,612,855,1,756,"request
stmap77"
benchmarks/i10.aig,14,0,612,855,0,809,"request
stmap77"
benchmarks/i10.aig,16,0,612,855,0,809,"request
stmap77"
benchmarks/i10.aig,18,0,612,855,1,756,"request
stmap77"
benchmarks/i10.aig,20,0,612,855,1,756,"request
stmap77"
benchmarks/i10.aig,22,0,612,855,0,809,"request
stmap77"
benchmarks/i10.aig,24,0,612,855,0,809,"request
stmap77"
benchmarks/i10.aig,26,0,612,855,0,809,"request
stmap65"
benchmarks/ode.abc.blif,4,0,2417,5219,1,4974,"request
stmap77"
benchmarks/ode.abc.blif,6,0,2417,5219,1,4974,"request
stmap77"
benchmarks/ode.abc.blif,8,0,2417,5219,1,4974,"request
stmap77"
benchmarks/ode.abc.blif,10,0,2417,5219,1,4974,"request
stmap77"
benchmarks/ode.abc.blif,12,0,2417,5219,1,4974,"request
stmap77"
benchmarks/ode.abc.blif,14,0,2417,5219,1,4974,"request
stmap77"
benchmarks/ode.abc.blif,16,0,2417,5219,1,4974,"request
stmap77"
benchmarks/ode.abc.blif,18,0,2417,5219,1,4974,"request
stmap65"
benchmarks/or1200.abc.blif,5,0,9641,11491,0,6717,"request
stmap77"
benchmarks/or1200.abc.blif,7,0,9641,11491,0,6717,"request
stmap77"
benchmarks/or1200.abc.blif,9,0,9641,11491,0,6717,"request
stmap77"
benchmarks/or1200.abc.blif,11,0,9641,11491,0,6717,"request
stmap77"
benchmarks/or1200.abc.blif,13,0,9641,11491,0,6717,"request
stmap65"
benchmarks/syn2.abc.blif,4,0,14582,18002,1,11210,"request
stmap77"
benchmarks/syn2.abc.blif,6,0,14582,18002,1,11210,"request
stmap77"
benchmarks/syn2.abc.blif,8,0,14582,18002,1,11210,"request
stmap77"
benchmarks/syn2.abc.blif,10,0,14582,18002,1,11210,"request
stmap77"
benchmarks/syn2.abc.blif,12,0,14582,18002,1,11210,"request
stmap65"
