benchmark,index,watch_index,mapper_mode,node,aig_id,level,refs,phase,gate,leaves,cut_leaf_load_avg,fanout_limit,load_drive_ratio,arrival,required,slack,area_flow,u_phase_best,node_sink_pressure_ratio,cut_sink_pressure_ratio,scl_feedback,leaf0_node,leaf0_aig_id,leaf1_node,leaf1_aig_id,leaf2_node,leaf2_aig_id,leaf3_node,leaf3_aig_id,leaf4_node,leaf4_aig_id,leaf5_node,leaf5_aig_id
benchmarks/i10.aig,1,0,0,612,855,18,1,0,NAND5xp2_ASAP7_75t_L,5,10.400,1,10.400,71.230003,-1.000000,0.000000,23.789753,25,0.000,0.000,0.000,347,572,398,623,423,649,430,629,610,853,-1,-1
benchmarks/i10.aig,2,0,0,612,855,18,1,1,NOR4xp25_ASAP7_75t_L,4,9.500,1,9.500,70.980003,-1.000000,0.000000,31.130444,10,0.000,0.000,0.000,347,572,398,623,430,629,611,854,-1,-1,-1,-1
benchmarks/i10.aig,3,0,1,612,855,18,1,0,NAND5xp2_ASAP7_75t_L,5,10.400,1,10.400,71.320000,71.490013,0.170013,3.880042,25,0.000,0.000,0.000,347,572,398,623,423,649,430,629,610,853,-1,-1
benchmarks/i10.aig,4,0,1,612,855,18,1,1,NOR4xp25_ASAP7_75t_L,4,9.500,1,9.500,70.980003,70.980011,0.000008,8.181529,10,0.000,0.000,0.000,347,572,398,623,430,629,611,854,-1,-1,-1,-1
benchmarks/i10.aig,5,0,2,612,855,18,1,0,NAND5xp2_ASAP7_75t_L,5,10.400,1,10.400,71.320000,71.490013,0.170013,1.630000,25,0.000,0.000,0.000,347,572,398,623,423,649,430,629,610,853,-1,-1
benchmarks/i10.aig,6,0,2,612,855,18,1,1,NOR4xp25_ASAP7_75t_L,4,9.500,1,9.500,70.980003,70.980011,0.000008,1.400000,10,0.000,0.000,0.000,347,572,398,623,430,629,611,854,-1,-1,-1,-1
benchmarks/i10.aig,7,0,3,612,855,18,1,0,NAND5xp2_ASAP7_75t_L,5,10.400,1,10.400,71.320000,71.490013,0.170013,1.630000,25,0.000,0.000,0.000,347,572,398,623,423,649,430,629,610,853,-1,-1
benchmarks/i10.aig,8,0,3,612,855,18,1,1,NOR4xp25_ASAP7_75t_L,4,9.500,1,9.500,70.980003,70.980011,0.000008,1.400000,10,0.000,0.000,0.000,347,572,398,623,430,629,611,854,-1,-1,-1,-1
benchmarks/i10.aig,9,0,0,612,855,18,1,0,NAND5xp2_ASAP7_75t_L,5,10.400,1,10.400,71.230003,-1.000000,0.000000,23.789753,25,0.000,0.000,0.000,347,572,398,623,423,649,430,629,610,853,-1,-1
benchmarks/i10.aig,10,0,0,612,855,18,1,1,NOR4xp25_ASAP7_75t_L,4,9.500,1,9.500,70.980003,-1.000000,0.000000,31.130444,10,0.000,0.000,0.000,347,572,398,623,430,629,611,854,-1,-1,-1,-1
benchmarks/i10.aig,11,0,1,612,855,18,1,0,NAND5xp2_ASAP7_75t_L,5,10.400,1,10.400,71.320000,71.490013,0.170013,3.880042,25,0.000,0.000,0.000,347,572,398,623,423,649,430,629,610,853,-1,-1
benchmarks/i10.aig,12,0,1,612,855,18,1,1,NOR4xp25_ASAP7_75t_L,4,9.500,1,9.500,70.980003,70.980011,0.000008,8.181529,10,0.000,0.000,0.000,347,572,398,623,430,629,611,854,-1,-1,-1,-1
benchmarks/i10.aig,13,0,2,612,855,18,1,0,NAND5xp2_ASAP7_75t_L,5,10.400,1,10.400,71.320000,71.490013,0.170013,1.630000,25,0.000,0.000,0.000,347,572,398,623,423,649,430,629,610,853,-1,-1
benchmarks/i10.aig,14,0,2,612,855,18,1,1,NOR4xp25_ASAP7_75t_L,4,9.500,1,9.500,70.980003,70.980011,0.000008,1.400000,10,0.000,0.000,0.000,347,572,398,623,430,629,611,854,-1,-1,-1,-1
benchmarks/i10.aig,15,0,3,612,855,18,1,0,NAND5xp2_ASAP7_75t_L,5,10.400,1,10.400,71.320000,71.490013,0.170013,1.630000,25,0.000,0.000,0.000,347,572,398,623,423,649,430,629,610,853,-1,-1
benchmarks/i10.aig,16,0,3,612,855,18,1,1,NOR4xp25_ASAP7_75t_L,4,9.500,1,9.500,70.980003,70.980011,0.000008,1.400000,10,0.000,0.000,0.000,347,572,398,623,430,629,611,854,-1,-1,-1,-1
benchmarks/ode.abc.blif,1,0,0,2417,5219,36,1,0,A2O1A1Ixp33_ASAP7_75t_L,4,3.250,1,3.250,163.529999,-1.000000,0.000000,1202.093140,2,0.000,0.000,0.000,1669,4471,2334,5204,2411,5215,2416,5218,-1,-1,-1,-1
benchmarks/ode.abc.blif,2,0,0,2417,5219,36,1,1,O2A1O1Ixp33_ASAP7_75t_L,4,3.250,1,3.250,162.399994,-1.000000,0.000000,1022.969727,13,0.000,0.000,0.000,1669,4471,2334,5204,2411,5215,2416,5218,-1,-1,-1,-1
benchmarks/ode.abc.blif,3,0,1,2417,5219,36,1,0,A2O1A1Ixp33_ASAP7_75t_L,4,3.250,1,3.250,164.730011,165.950027,1.220016,84.630318,2,0.000,0.000,0.000,1669,4471,2334,5204,2411,5215,2416,5218,-1,-1,-1,-1
benchmarks/ode.abc.blif,4,0,1,2417,5219,36,1,1,O2A1O1Ixp33_ASAP7_75t_L,4,3.250,1,3.250,162.399994,162.400009,0.000015,69.111443,13,0.000,0.000,0.000,1669,4471,2334,5204,2411,5215,2416,5218,-1,-1,-1,-1
benchmarks/ode.abc.blif,5,0,2,2417,5219,36,1,0,A2O1A1Ixp33_ASAP7_75t_L,4,3.250,1,3.250,171.059998,-1.000000,0.000000,0.000000,1,0.000,0.000,0.000,1177,3153,1668,4470,2414,5216,2416,5218,-1,-1,-1,-1
benchmarks/ode.abc.blif,6,0,2,2417,5219,36,1,1,O2A1O1Ixp33_ASAP7_75t_L,4,3.250,1,3.250,162.369995,162.400009,0.030014,0.000000,13,0.000,0.000,0.000,1669,4471,2334,5204,2411,5215,2416,5218,-1,-1,-1,-1
benchmarks/ode.abc.blif,7,0,3,2417,5219,36,1,0,A2O1A1Ixp33_ASAP7_75t_L,4,3.250,1,3.250,171.059998,-1.000000,0.000000,0.000000,1,0.000,0.000,0.000,1177,3153,1668,4470,2414,5216,2416,5218,-1,-1,-1,-1
benchmarks/ode.abc.blif,8,0,3,2417,5219,36,1,1,O2A1O1Ixp33_ASAP7_75t_L,4,3.250,1,3.250,162.369995,162.369980,-0.000015,0.000000,13,0.000,0.000,0.000,1669,4471,2334,5204,2411,5215,2416,5218,-1,-1,-1,-1
benchmarks/ode.abc.blif,9,0,0,2417,5219,36,1,0,A2O1A1Ixp33_ASAP7_75t_L,4,3.250,1,3.250,163.529999,-1.000000,0.000000,1202.093140,2,2.818,2.818,0.627,1669,4471,2334,5204,2411,5215,2416,5218,-1,-1,-1,-1
benchmarks/ode.abc.blif,10,0,0,2417,5219,36,1,1,O2A1O1Ixp33_ASAP7_75t_L,4,3.250,1,3.250,162.399994,-1.000000,0.000000,1022.969727,13,2.818,2.818,0.627,1669,4471,2334,5204,2411,5215,2416,5218,-1,-1,-1,-1
benchmarks/ode.abc.blif,11,0,1,2417,5219,36,1,0,A2O1A1Ixp33_ASAP7_75t_L,4,3.250,1,3.250,164.730011,165.950027,1.220016,84.630318,2,2.818,2.818,0.627,1669,4471,2334,5204,2411,5215,2416,5218,-1,-1,-1,-1
benchmarks/ode.abc.blif,12,0,1,2417,5219,36,1,1,O2A1O1Ixp33_ASAP7_75t_L,4,3.250,1,3.250,162.399994,162.400009,0.000015,69.111443,13,2.818,2.818,0.627,1669,4471,2334,5204,2411,5215,2416,5218,-1,-1,-1,-1
