benchmark,index,co_kind,co_index,parent_node,parent_aig_id,parent_phase,parent_is_downstream,parent_gate,leaf_index,leaf_aig_id,leaf_requested_phase,leaf_inverted_pin,parent_cut_leaves,u_phase_best,path_aigs,path_nodes,path_phases
benchmarks/i10.aig,1,co,1,766,1099,1,0,O2A1O1Ixp33_ASAP7_75t_L,2,855,1,0,4,8,1179>1171>1167>1127>1106>1099,954>946>945>773>770>766,1>0>1>1>0>1
benchmarks/i10.aig,3,co,1,741,1116,0,0,NAND3xp33_ASAP7_75t_L,2,855,0,1,3,6,1179>1171>1167>1166>1132>1116,954>946>945>938>920>741,1>0>1>1>1>0
benchmarks/i10.aig,5,co,1,739,1119,0,0,NAND3xp33_ASAP7_75t_L,2,855,0,1,3,7,1179>1171>1167>1166>1133>1119,954>946>945>938>921>739,1>0>1>1>1>0
benchmarks/i10.aig,7,co,1,614,860,0,0,NAND4xp25_ASAP7_75t_L,3,855,0,1,4,15,1179>1174>991>945>943>860,954>949>712>634>620>614,1>0>0>0>0>0
benchmarks/i10.aig,9,co,1,615,861,0,1,OAI22xp33_ASAP7_75t_L,3,855,1,0,4,0,1179>1174>991>945>943>861,954>949>712>634>620>615,1>0>0>0>0>0
benchmarks/i10.aig,11,co,1,614,860,1,0,NOR4xp25_ASAP7_75t_L,3,855,1,0,4,0,1179>1174>991>945>944>860,954>949>712>634>621>614,1>0>0>0>0>1
benchmarks/i10.aig,13,co,1,615,861,1,1,AOI22xp33_ASAP7_75t_L,3,855,0,1,4,15,1179>1174>991>945>944>861,954>949>712>634>621>615,1>0>0>0>0>1
benchmarks/i10.aig,15,co,2,963,1239,0,0,NAND4xp25_ASAP7_75t_L,1,855,0,1,4,15,1343>1248>1239,1118>982>963,1>1>0
benchmarks/i10.aig,17,co,2,964,1240,0,0,OAI22xp33_ASAP7_75t_L,1,855,1,0,4,0,1343>1248>1240,1118>982>964,1>1>0
benchmarks/i10.aig,19,co,2,616,857,1,0,AOI211xp5_ASAP7_75t_L,3,855,1,0,4,3,1343>1342>1221>1189>885>857,1118>1115>1045>1013>799>616,1>0>1>1>0>1
benchmarks/i10.aig,21,co,2,617,858,1,0,AOI22xp33_ASAP7_75t_L,3,855,0,1,4,15,1343>1342>1221>1189>885>858,1118>1115>1045>1013>799>617,1>0>1>1>0>1
benchmarks/i10.aig,23,co,6,872,1034,0,0,NAND4xp25_ASAP7_75t_L,3,855,0,1,4,15,1477>1471>1416>1402>1055>1034,1252>1250>1189>1181>879>872,0>0>0>1>1>0
benchmarks/i10.aig,25,co,18,1603,1828,1,0,O2A1O1Ixp33_ASAP7_75t_L,3,855,0,1,4,15,1828,1603,1
