benchmark,index,co_kind,co_index,watch_aig,downstream_aig,requested_phase,stack_depth,via_downstream,parent_node,parent_aig_id,parent_phase,parent_is_downstream,phase0_action,phase1_action,phase0_has_cut,phase1_has_cut,phase0_cached,phase1_cached,phase0_gate,phase1_gate,path_aigs,path_nodes,path_phases
benchmarks/i10.aig,2,co,1,855,861,1,7,0,766,1099,1,0,direct-cut,direct-cut,1,1,0,0,NAND5xp2_ASAP7_75t_L,NOR4xp25_ASAP7_75t_L,1179>1171>1167>1127>1106>1099>855,954>946>945>773>770>766>612,1>0>1>1>0>1>1
benchmarks/i10.aig,4,co,1,855,861,0,7,0,741,1116,0,0,direct-cut,cached,1,1,0,1,NAND5xp2_ASAP7_75t_L,NOR4xp25_ASAP7_75t_L,1179>1171>1167>1166>1132>1116>855,954>946>945>938>920>741>612,1>0>1>1>1>0>0
benchmarks/i10.aig,6,co,1,855,861,0,7,0,739,1119,0,0,cached,cached,1,1,1,1,NAND5xp2_ASAP7_75t_L,NOR4xp25_ASAP7_75t_L,1179>1171>1167>1166>1133>1119>855,954>946>945>938>921>739>612,1>0>1>1>1>0>0
benchmarks/i10.aig,8,co,1,855,861,0,7,0,614,860,0,0,cached,cached,1,1,1,1,NAND5xp2_ASAP7_75t_L,NOR4xp25_ASAP7_75t_L,1179>1174>991>945>943>860>855,954>949>712>634>620>614>612,1>0>0>0>0>0>0
benchmarks/i10.aig,10,co,1,855,861,1,7,1,615,861,0,1,cached,cached,1,1,1,1,NAND5xp2_ASAP7_75t_L,NOR4xp25_ASAP7_75t_L,1179>1174>991>945>943>861>855,954>949>712>634>620>615>612,1>0>0>0>0>0>1
benchmarks/i10.aig,12,co,1,855,861,1,7,0,614,860,1,0,cached,cached,1,1,1,1,NAND5xp2_ASAP7_75t_L,NOR4xp25_ASAP7_75t_L,1179>1174>991>945>944>860>855,954>949>712>634>621>614>612,1>0>0>0>0>1>1
benchmarks/i10.aig,14,co,1,855,861,0,7,1,615,861,1,1,cached,cached,1,1,1,1,NAND5xp2_ASAP7_75t_L,NOR4xp25_ASAP7_75t_L,1179>1174>991>945>944>861>855,954>949>712>634>621>615>612,1>0>0>0>0>1>0
benchmarks/i10.aig,16,co,2,855,861,0,4,0,963,1239,0,0,cached,cached,1,1,1,1,NAND5xp2_ASAP7_75t_L,NOR4xp25_ASAP7_75t_L,1343>1248>1239>855,1118>982>963>612,1>1>0>0
benchmarks/i10.aig,18,co,2,855,861,1,4,0,964,1240,0,0,cached,cached,1,1,1,1,NAND5xp2_ASAP7_75t_L,NOR4xp25_ASAP7_75t_L,1343>1248>1240>855,1118>982>964>612,1>1>0>1
benchmarks/i10.aig,20,co,2,855,861,1,7,0,616,857,1,0,cached,cached,1,1,1,1,NAND5xp2_ASAP7_75t_L,NOR4xp25_ASAP7_75t_L,1343>1342>1221>1189>885>857>855,1118>1115>1045>1013>799>616>612,1>0>1>1>0>1>1
benchmarks/i10.aig,22,co,2,855,861,0,7,0,617,858,1,0,cached,cached,1,1,1,1,NAND5xp2_ASAP7_75t_L,NOR4xp25_ASAP7_75t_L,1343>1342>1221>1189>885>858>855,1118>1115>1045>1013>799>617>612,1>0>1>1>0>1>0
