benchmark,index,parent_aig,child_aig,mapper_mode,phase,cut_ordinal,action,eligible,override,accepted_before,child_leaf_index,child_requested_phase,gate,best_gate,arrival,best_arrival,arrival_delta,area_flow,best_area_flow,area_premium,area_ratio,arrival_window,area_premium_window
benchmarks/i10.aig,8,861,855,0,1,7,blocked-mode,0,0,1,3,0,AOI211xp5_ASAP7_75t_L,AOI21xp33_ASAP7_75t_L,83.960,86.110,-2.150,67.220,16.917,50.303,3.973,0.750,0.750
benchmarks/i10.aig,9,861,855,0,1,12,blocked-mode,0,0,1,3,0,AOI22xp33_ASAP7_75t_L,AOI211xp5_ASAP7_75t_L,82.260,83.960,-1.700,62.995,67.220,-4.225,0.937,0.750,0.750
benchmarks/i10.aig,11,861,855,1,1,12,blocked-mode,0,0,1,3,0,AOI22xp33_ASAP7_75t_L,AOI22xp33_ASAP7_75t_L,82.260,82.260,0.000,5.473,62.995,-57.522,0.087,0.750,0.750
benchmarks/i10.aig,13,861,855,2,1,12,override,1,1,0,3,0,AOI22xp33_ASAP7_75t_L,AOI22xp33_ASAP7_75t_L,82.290,82.290,0.000,1.400,1.400,0.000,1.000,0.750,0.750
benchmarks/i10.aig,15,861,855,3,1,12,override,1,1,0,3,0,AOI22xp33_ASAP7_75t_L,AOI22xp33_ASAP7_75t_L,82.290,82.290,0.000,1.400,1.400,0.000,1.000,0.750,0.750
benchmarks/ode.abc.blif,5,5229,5219,0,1,5,blocked-mode,0,0,1,2,0,AOI211xp5_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,176.000,180.230,-4.230,2412.618,1028.125,1384.493,2.347,0.750,0.750
benchmarks/ode.abc.blif,13,5229,5219,2,1,5,override,1,1,0,2,0,AOI211xp5_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,183.980,185.530,-1.550,1.400,0.930,0.470,1.505,0.750,0.750
benchmarks/ode.abc.blif,16,5229,5219,2,1,11,override,1,1,0,3,0,AOI221xp5_ASAP7_75t_L,AOI211xp5_ASAP7_75t_L,184.330,183.980,0.350,1.630,1.400,0.230,1.164,0.750,0.750
benchmarks/ode.abc.blif,17,5229,5219,2,1,14,blocked-window,0,0,0,3,0,AOI311xp33_ASAP7_75t_L,AOI221xp5_ASAP7_75t_L,184.390,184.330,0.060,2.560,1.630,0.930,1.571,0.750,0.750
benchmarks/ode.abc.blif,23,5229,5219,3,1,5,blocked-window,0,0,0,2,0,AOI211xp5_ASAP7_75t_L,NOR3xp33_ASAP7_75t_L,183.980,180.470,3.510,1.400,1.170,0.230,1.197,0.750,0.750
benchmarks/ode.abc.blif,26,5229,5219,3,1,11,blocked-window,0,0,0,3,0,AOI221xp5_ASAP7_75t_L,NOR3xp33_ASAP7_75t_L,184.330,180.470,3.860,1.630,1.170,0.460,1.393,0.750,0.750
benchmarks/ode.abc.blif,27,5229,5219,3,1,14,blocked-window,0,0,0,3,0,AOI311xp33_ASAP7_75t_L,NOR3xp33_ASAP7_75t_L,184.390,180.470,3.920,2.560,1.170,1.390,2.188,0.750,0.750
benchmarks/or1200.abc.blif,2,13829,11491,0,1,0,blocked-mode,0,0,1,0,0,NOR2xp33_ASAP7_75t_L,?,46.230,34028234663852885981170418348451692544.000,-34028234663852885981170418348451692544.000,5.013,34028234663852885981170418348451692544.000,-34028234663852885981170418348451692544.000,0.000,0.750,0.750
benchmarks/or1200.abc.blif,7,13829,11491,1,1,0,blocked-mode,0,0,1,0,0,NOR2xp33_ASAP7_75t_L,A2O1A1O1Ixp25_ASAP7_75t_L,68.860,62.170,6.690,2.285,3.955,-1.669,0.578,0.750,0.750
benchmarks/or1200.abc.blif,9,13829,11491,1,1,2,blocked-mode,0,0,0,2,0,AOI21xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,69.620,68.860,0.760,2.440,2.285,0.155,1.068,0.750,0.750
benchmarks/or1200.abc.blif,12,13829,11491,2,0,2,already-selected,1,0,1,2,0,AO21x2_ASAP7_75t_L,NAND2xp33_ASAP7_75t_L,72.480,74.800,-2.320,1.630,1.630,0.000,1.000,0.750,0.750
benchmarks/or1200.abc.blif,13,13829,11491,2,1,0,override,1,1,0,0,0,NOR2xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,68.820,68.820,0.000,0.930,0.930,0.000,1.000,0.750,0.750
benchmarks/or1200.abc.blif,15,13829,11491,3,1,0,override,1,1,0,0,0,NOR2xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,68.820,68.820,0.000,0.930,0.930,0.000,1.000,0.750,0.750
benchmarks/or1200.abc.blif,17,13829,11491,3,1,2,blocked-window,0,0,0,2,0,AOI21xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,69.580,68.820,0.760,1.170,0.930,0.240,1.258,0.750,0.750
benchmarks/syn2.abc.blif,7,18467,18002,1,0,7,blocked-mode,0,0,0,1,0,OAI31xp33_ASAP7_75t_L,OAI21xp33_ASAP7_75t_L,43.190,41.660,1.530,5.545,5.102,0.443,1.087,0.750,0.750
benchmarks/syn2.abc.blif,20,18467,18002,3,0,7,blocked-window,0,0,0,1,0,OAI31xp33_ASAP7_75t_L,A2O1A1Ixp33_ASAP7_75t_L,46.310,47.520,-1.210,4.890,1.170,3.720,4.179,0.750,0.750
