benchmark,index,parent_aig,child_aig,mapper_mode,phase,action,cut_ordinal,child_leaf_index,child_requested_phase,gate,arrival,area_flow,sticky_cut_ordinal,sticky_arrival,sticky_area_flow,timing_hold_window,sticky_gate,timing_gain
benchmarks/i10.aig,1,861,855,2,1,set-sticky,-1,3,0,AOI22xp33_ASAP7_75t_L,82.290,1.400,-1,82.290,1.400,3.000,,
benchmarks/i10.aig,2,861,855,2,1,allow-child-phase0,12,3,0,AOI22xp33_ASAP7_75t_L,82.290,1.400,-1,82.290,1.400,3.000,AOI22xp33_ASAP7_75t_L,0.000
benchmarks/i10.aig,3,861,855,2,1,set-sticky,12,3,0,AOI22xp33_ASAP7_75t_L,82.290,1.400,12,82.290,1.400,3.000,,
benchmarks/i10.aig,4,861,855,3,1,set-sticky,-1,3,0,AOI22xp33_ASAP7_75t_L,82.290,1.400,-1,82.290,1.400,3.000,,
benchmarks/i10.aig,5,861,855,3,1,allow-child-phase0,12,3,0,AOI22xp33_ASAP7_75t_L,82.290,1.400,-1,82.290,1.400,3.000,AOI22xp33_ASAP7_75t_L,0.000
benchmarks/i10.aig,6,861,855,3,1,set-sticky,12,3,0,AOI22xp33_ASAP7_75t_L,82.290,1.400,12,82.290,1.400,3.000,,
benchmarks/ode.abc.blif,1,5229,5219,2,1,set-sticky,5,2,0,AOI211xp5_ASAP7_75t_L,183.980,1.400,5,183.980,1.400,3.000,,
benchmarks/ode.abc.blif,2,5229,5219,2,1,block-child-missing,6,-1,-1,AOI211xp5_ASAP7_75t_L,181.710,1.400,5,183.980,1.400,3.000,AOI211xp5_ASAP7_75t_L,2.270
benchmarks/ode.abc.blif,3,5229,5219,2,1,block-child-missing,7,-1,-1,NOR4xp25_ASAP7_75t_L,181.620,1.400,5,183.980,1.400,3.000,AOI211xp5_ASAP7_75t_L,2.360
benchmarks/ode.abc.blif,4,5229,5219,2,1,allow-child-phase0,11,3,0,AOI221xp5_ASAP7_75t_L,184.330,1.630,5,183.980,1.400,3.000,AOI211xp5_ASAP7_75t_L,-0.350
benchmarks/ode.abc.blif,5,5229,5219,2,1,set-sticky,11,3,0,AOI221xp5_ASAP7_75t_L,184.330,1.630,11,184.330,1.630,3.000,,
benchmarks/ode.abc.blif,6,5229,5219,2,1,block-child-missing,16,-1,-1,AOI311xp33_ASAP7_75t_L,182.150,1.630,11,184.330,1.630,3.000,AOI221xp5_ASAP7_75t_L,2.180
benchmarks/ode.abc.blif,7,5229,5219,3,1,set-sticky,-1,3,0,AOI221xp5_ASAP7_75t_L,184.330,1.630,-1,184.330,1.630,3.000,,
benchmarks/ode.abc.blif,8,5229,5219,3,1,block-child-missing,0,-1,-1,NOR2xp33_ASAP7_75t_L,183.440,0.930,-1,184.330,1.630,3.000,AOI221xp5_ASAP7_75t_L,0.890
benchmarks/ode.abc.blif,9,5229,5219,3,1,block-child-missing,2,-1,-1,NOR3xp33_ASAP7_75t_L,184.940,1.170,-1,184.330,1.630,3.000,AOI221xp5_ASAP7_75t_L,-0.610
benchmarks/ode.abc.blif,10,5229,5219,3,1,allow-timing,3,-1,-1,NOR3xp33_ASAP7_75t_L,180.470,1.170,-1,184.330,1.630,3.000,AOI221xp5_ASAP7_75t_L,3.860
benchmarks/or1200.abc.blif,1,13829,11491,2,0,set-sticky,2,2,0,AO21x2_ASAP7_75t_L,72.480,1.630,2,72.480,1.630,3.000,,
benchmarks/or1200.abc.blif,2,13829,11491,2,1,set-sticky,-1,0,0,NOR2xp33_ASAP7_75t_L,68.820,0.930,-1,68.820,0.930,3.000,,
benchmarks/or1200.abc.blif,3,13829,11491,2,1,allow-child-phase0,0,0,0,NOR2xp33_ASAP7_75t_L,68.820,0.930,-1,68.820,0.930,3.000,NOR2xp33_ASAP7_75t_L,0.000
benchmarks/or1200.abc.blif,4,13829,11491,2,1,set-sticky,0,0,0,NOR2xp33_ASAP7_75t_L,68.820,0.930,0,68.820,0.930,3.000,,
benchmarks/or1200.abc.blif,5,13829,11491,3,1,set-sticky,-1,0,0,NOR2xp33_ASAP7_75t_L,68.820,0.930,-1,68.820,0.930,3.000,,
benchmarks/or1200.abc.blif,6,13829,11491,3,1,allow-child-phase0,0,0,0,NOR2xp33_ASAP7_75t_L,68.820,0.930,-1,68.820,0.930,3.000,NOR2xp33_ASAP7_75t_L,0.000
benchmarks/or1200.abc.blif,7,13829,11491,3,1,set-sticky,0,0,0,NOR2xp33_ASAP7_75t_L,68.820,0.930,0,68.820,0.930,3.000,,
