benchmark,index,watch_index,node,aig_id,requested_phase,has_cut_requested,has_cut_opposite,cached_requested,cached_opposite,level
benchmarks/i10.aig,1,0,612,855,1,1,1,0,0,18
benchmarks/i10.aig,3,0,612,855,0,1,1,0,1,18
benchmarks/i10.aig,5,0,612,855,0,1,1,1,1,18
benchmarks/i10.aig,7,0,612,855,0,1,1,1,1,18
benchmarks/i10.aig,9,1,615,861,0,1,1,0,0,20
benchmarks/i10.aig,10,0,612,855,1,1,1,1,1,18
benchmarks/i10.aig,13,0,612,855,1,1,1,1,1,18
benchmarks/i10.aig,15,1,615,861,1,1,1,0,1,20
benchmarks/i10.aig,16,0,612,855,0,1,1,1,1,18
benchmarks/i10.aig,19,1,615,861,1,1,1,1,1,20
benchmarks/i10.aig,21,1,615,861,0,1,1,1,1,20
benchmarks/i10.aig,23,0,612,855,0,1,1,1,1,18
benchmarks/i10.aig,25,0,612,855,1,1,1,1,1,18
benchmarks/i10.aig,27,0,612,855,1,1,1,1,1,18
benchmarks/i10.aig,29,0,612,855,0,1,1,1,1,18
benchmarks/i10.aig,31,0,612,855,0,1,1,1,1,18
benchmarks/i10.aig,33,1,615,861,1,1,1,1,1,20
benchmarks/i10.aig,35,1,615,861,0,1,1,1,1,20
benchmarks/i10.aig,37,1,615,861,1,1,1,1,1,20
benchmarks/i10.aig,39,1,615,861,0,1,1,1,1,20
benchmarks/i10.aig,41,1,615,861,1,1,1,1,1,20
benchmarks/i10.aig,43,0,612,855,0,1,1,1,1,18
benchmarks/ode.abc.blif,1,0,2417,5219,1,1,1,0,0,36
benchmarks/ode.abc.blif,3,0,2417,5219,1,1,1,1,0,36
benchmarks/ode.abc.blif,5,0,2417,5219,1,1,1,1,0,36
benchmarks/ode.abc.blif,7,1,2427,5229,0,1,1,0,0,39
benchmarks/ode.abc.blif,8,0,2417,5219,1,1,1,1,0,36
benchmarks/ode.abc.blif,11,0,2417,5219,1,1,1,1,0,36
benchmarks/ode.abc.blif,13,0,2417,5219,1,1,1,1,0,36
benchmarks/ode.abc.blif,15,1,2427,5229,0,1,1,1,0,39
benchmarks/ode.abc.blif,17,0,2417,5219,1,1,1,1,0,36
benchmarks/ode.abc.blif,19,0,2417,5219,1,1,1,1,0,36
benchmarks/ode.abc.blif,21,0,2417,5219,1,1,1,1,0,36
benchmarks/ode.abc.blif,23,1,2427,5229,0,1,1,1,0,39
benchmarks/ode.abc.blif,25,1,2427,5229,0,1,1,1,0,39
benchmarks/ode.abc.blif,27,1,2427,5229,0,1,1,1,0,39
benchmarks/or1200.abc.blif,2,0,9641,11491,0,1,0,0,0,7
benchmarks/or1200.abc.blif,4,1,11983,13829,0,0,1,0,0,8
benchmarks/or1200.abc.blif,5,0,9641,11491,0,1,0,1,0,7
benchmarks/or1200.abc.blif,9,0,9641,11491,0,1,0,1,0,7
benchmarks/or1200.abc.blif,11,0,9641,11491,0,1,0,1,0,7
benchmarks/or1200.abc.blif,13,0,9641,11491,0,1,0,1,0,7
benchmarks/or1200.abc.blif,15,1,11983,13829,1,1,0,1,1,8
benchmarks/or1200.abc.blif,17,1,11983,13829,0,0,1,1,1,8
benchmarks/or1200.abc.blif,19,1,11983,13829,0,0,1,1,1,8
benchmarks/or1200.abc.blif,21,0,9641,11491,0,1,0,1,0,7
benchmarks/syn2.abc.blif,1,1,14992,18467,1,1,1,0,0,8
benchmarks/syn2.abc.blif,2,0,14582,18002,1,1,0,0,0,3
benchmarks/syn2.abc.blif,5,0,14582,18002,1,1,0,1,0,3
benchmarks/syn2.abc.blif,7,0,14582,18002,1,1,0,1,0,3
benchmarks/syn2.abc.blif,9,0,14582,18002,1,1,0,1,0,3
benchmarks/syn2.abc.blif,11,0,14582,18002,1,1,0,1,0,3
benchmarks/syn2.abc.blif,13,1,14992,18467,1,1,1,1,0,8
benchmarks/syn2.abc.blif,15,0,14582,18002,1,1,0,1,0,3
benchmarks/syn2.abc.blif,17,1,14992,18467,1,1,1,1,0,8
