benchmark,index,child_aig,target_phase,mapper_mode,phase,cut_ordinal,action,eligible,override,accepted_before,gate,best_gate,arrival,best_arrival,arrival_gain,area_flow,best_area_flow,area_premium,area_ratio,min_arrival_gain,area_premium_window,area_ratio_window
benchmarks/i10.aig,5,855,1,0,1,0,blocked-mode,0,0,1,NOR2xp33_ASAP7_75t_L,?,74.180,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,12.951,34028234663852885981170418348451692544.000,-34028234663852885981170418348451692544.000,0.000,0.020,1.200,2.000
benchmarks/i10.aig,6,855,1,0,1,2,blocked-mode,0,0,1,NOR3xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,73.880,74.180,0.300,12.272,12.951,-0.679,0.948,0.020,1.200,2.000
benchmarks/i10.aig,7,855,1,0,1,4,blocked-mode,0,0,1,NOR4xp25_ASAP7_75t_L,NOR3xp33_ASAP7_75t_L,70.980,73.880,2.900,31.130,12.272,18.859,2.537,0.020,1.200,2.000
benchmarks/i10.aig,9,855,1,1,1,4,blocked-mode,0,0,1,NOR4xp25_ASAP7_75t_L,NOR4xp25_ASAP7_75t_L,70.980,70.980,0.000,8.182,31.130,-22.949,0.263,0.020,1.200,2.000
benchmarks/i10.aig,11,855,1,2,1,4,blocked-speed,0,0,0,NOR4xp25_ASAP7_75t_L,NOR4xp25_ASAP7_75t_L,70.980,70.980,0.000,1.400,1.400,0.000,1.000,0.020,1.200,2.000
benchmarks/i10.aig,13,855,1,3,1,4,blocked-speed,0,0,0,NOR4xp25_ASAP7_75t_L,NOR4xp25_ASAP7_75t_L,70.980,70.980,0.000,1.400,1.400,0.000,1.000,0.020,1.200,2.000
benchmarks/ode.abc.blif,4,5219,1,0,1,0,blocked-mode,0,0,1,NOR2xp33_ASAP7_75t_L,?,164.930,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,459.939,34028234663852885981170418348451692544.000,-34028234663852885981170418348451692544.000,0.000,0.020,1.200,2.000
benchmarks/ode.abc.blif,5,5219,1,0,1,1,blocked-mode,0,0,1,AOI21xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,164.840,164.930,0.090,307.729,459.939,-152.210,0.669,0.020,1.200,2.000
benchmarks/ode.abc.blif,6,5219,1,0,1,4,blocked-mode,0,0,1,O2A1O1Ixp33_ASAP7_75t_L,AOI21xp33_ASAP7_75t_L,162.400,164.840,2.440,1022.970,307.729,715.241,3.324,0.020,1.200,2.000
benchmarks/ode.abc.blif,8,5219,1,1,1,4,blocked-mode,0,0,1,O2A1O1Ixp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,162.400,162.400,0.000,69.111,1022.970,-953.858,0.068,0.020,1.200,2.000
benchmarks/ode.abc.blif,18,5219,1,2,1,4,blocked-speed,0,0,0,O2A1O1Ixp33_ASAP7_75t_L,O2A1O1Ixp33_ASAP7_75t_L,162.370,162.370,0.000,0.000,0.000,0.000,34028234663852885981170418348451692544.000,0.020,1.200,2.000
