benchmark,index,parent_aig,child_aig,target_parent_phase,target_child_phase,mapper_mode,phase,cut_ordinal,action,eligible,override,accepted_before,child_leaf_index,child_requested_phase,gate,best_gate,arrival,best_arrival,arrival_delta,area_flow,best_area_flow,area_premium,area_ratio,arrival_window,area_premium_window,area_ratio_window
benchmarks/i10.aig,8,861,855,1,0,0,1,7,blocked-mode,0,0,1,3,0,AOI211xp5_ASAP7_75t_L,AOI21xp33_ASAP7_75t_L,83.960,86.110,-2.150,67.220,16.917,50.303,3.973,0.300,0.800,2.000
benchmarks/i10.aig,9,861,855,1,0,0,1,12,blocked-mode,0,0,1,3,0,AOI22xp33_ASAP7_75t_L,AOI211xp5_ASAP7_75t_L,82.260,83.960,-1.700,62.995,67.220,-4.225,0.937,0.300,0.800,2.000
benchmarks/i10.aig,11,861,855,1,0,1,1,12,blocked-mode,0,0,1,3,0,AOI22xp33_ASAP7_75t_L,AOI22xp33_ASAP7_75t_L,82.260,82.260,0.000,5.473,62.995,-57.522,0.087,0.300,0.800,2.000
benchmarks/i10.aig,13,861,855,1,0,2,1,12,override,1,1,0,3,0,AOI22xp33_ASAP7_75t_L,AOI22xp33_ASAP7_75t_L,82.290,82.290,0.000,1.400,1.400,0.000,1.000,0.300,0.800,2.000
benchmarks/i10.aig,15,861,855,1,0,3,1,12,override,1,1,0,3,0,AOI22xp33_ASAP7_75t_L,AOI22xp33_ASAP7_75t_L,82.290,82.290,0.000,1.400,1.400,0.000,1.000,0.300,0.800,2.000
benchmarks/ode.abc.blif,3,5229,5219,0,1,0,0,5,blocked-mode,0,0,1,2,1,OAI211xp5_ASAP7_75t_L,NAND3xp33_ASAP7_75t_L,174.000,180.670,-6.670,2054.423,129.050,1925.374,15.920,0.300,0.800,2.000
benchmarks/ode.abc.blif,6,5229,5219,0,1,1,0,5,blocked-mode,0,0,1,2,1,OAI211xp5_ASAP7_75t_L,OAI211xp5_ASAP7_75t_L,174.000,174.000,0.000,44.730,2054.423,-2009.693,0.022,0.300,0.800,2.000
benchmarks/ode.abc.blif,7,5229,5219,0,1,1,1,5,blocked-parent-phase,0,0,1,2,1,OA211x2_ASAP7_75t_L,AOI211xp5_ASAP7_75t_L,177.340,177.330,0.010,45.200,2412.618,-2367.418,0.019,0.300,0.800,2.000
benchmarks/ode.abc.blif,8,5229,5219,0,1,1,1,11,blocked-parent-phase,0,0,0,3,1,OA221x2_ASAP7_75t_L,OA211x2_ASAP7_75t_L,178.170,177.340,0.830,47.066,45.200,1.866,1.041,0.300,0.800,2.000
benchmarks/ode.abc.blif,9,5229,5219,0,1,2,0,5,override,1,1,0,2,1,OAI211xp5_ASAP7_75t_L,OAI211xp5_ASAP7_75t_L,173.970,173.970,0.000,1.400,1.400,0.000,1.000,0.300,0.800,2.000
benchmarks/ode.abc.blif,19,5229,5219,0,1,3,0,5,override,1,1,0,2,1,OAI211xp5_ASAP7_75t_L,OAI211xp5_ASAP7_75t_L,173.970,173.970,0.000,1.400,1.400,0.000,1.000,0.300,0.800,2.000
benchmarks/or1200.abc.blif,2,13829,11491,1,0,0,1,0,blocked-mode,0,0,1,0,0,NOR2xp33_ASAP7_75t_L,?,46.230,34028234663852885981170418348451692544.000,-34028234663852885981170418348451692544.000,5.013,34028234663852885981170418348451692544.000,-34028234663852885981170418348451692544.000,0.000,0.300,0.800,2.000
benchmarks/or1200.abc.blif,7,13829,11491,1,0,1,1,0,blocked-mode,0,0,1,0,0,NOR2xp33_ASAP7_75t_L,A2O1A1O1Ixp25_ASAP7_75t_L,68.860,62.170,6.690,2.285,3.955,-1.669,0.578,0.300,0.800,2.000
benchmarks/or1200.abc.blif,9,13829,11491,1,0,1,1,2,blocked-mode,0,0,0,2,0,AOI21xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,69.620,68.860,0.760,2.440,2.285,0.155,1.068,0.300,0.800,2.000
