benchmark,index,parent_aig,child_aig,target_parent_phase,target_child_phase,mapper_mode,phase,cut_ordinal,action,eligible,override,accepted_before,child_leaf_index,child_requested_phase,gate,best_gate,arrival,best_arrival,arrival_delta,area_flow,best_area_flow,area_premium,area_ratio,candidate_fanout_limit,best_fanout_limit,fanout_limit_improved,candidate_cut_leaf_load_avg,best_cut_leaf_load_avg,candidate_load_drive_ratio,best_load_drive_ratio,load_drive_improved,drive_improved,arrival_window,area_premium_window,area_ratio_window,load_drive_ratio_min_gain
benchmarks/i10.aig,8,861,855,1,0,0,1,7,blocked-mode,0,0,1,3,0,AOI211xp5_ASAP7_75t_L,AOI21xp33_ASAP7_75t_L,83.960,86.110,-2.150,67.220,16.917,50.303,3.973,1,2,0,1.000,9.333,1.000,4.667,1,1,0.500,1.200,2.500,0.050
benchmarks/i10.aig,9,861,855,1,0,0,1,12,blocked-mode,0,0,1,3,0,AOI22xp33_ASAP7_75t_L,AOI211xp5_ASAP7_75t_L,82.260,83.960,-1.700,62.995,67.220,-4.225,0.937,1,1,0,1.250,1.000,1.250,1.000,0,0,0.500,1.200,2.500,0.050
benchmarks/i10.aig,11,861,855,1,0,1,1,12,blocked-mode,0,0,1,3,0,AOI22xp33_ASAP7_75t_L,AOI22xp33_ASAP7_75t_L,82.260,82.260,0.000,5.473,62.995,-57.522,0.087,1,1,0,1.250,1.250,1.250,1.250,0,0,0.500,1.200,2.500,0.050
benchmarks/i10.aig,13,861,855,1,0,2,1,12,blocked-drive,0,0,0,3,0,AOI22xp33_ASAP7_75t_L,AOI22xp33_ASAP7_75t_L,82.290,82.290,0.000,1.400,1.400,0.000,1.000,1,1,0,1.250,1.250,1.250,1.250,0,0,0.500,1.200,2.500,0.050
benchmarks/i10.aig,15,861,855,1,0,3,1,12,blocked-drive,0,0,0,3,0,AOI22xp33_ASAP7_75t_L,AOI22xp33_ASAP7_75t_L,82.290,82.290,0.000,1.400,1.400,0.000,1.000,1,1,0,1.250,1.250,1.250,1.250,0,0,0.500,1.200,2.500,0.050
benchmarks/ode.abc.blif,3,5229,5219,0,1,0,0,5,blocked-mode,0,0,1,2,1,OAI211xp5_ASAP7_75t_L,NAND3xp33_ASAP7_75t_L,174.000,180.670,-6.670,2054.423,129.050,1925.374,15.920,1,2,0,4.500,11.667,4.500,5.833,1,1,0.500,1.200,2.500,0.050
benchmarks/ode.abc.blif,6,5229,5219,0,1,1,0,5,blocked-mode,0,0,1,2,1,OAI211xp5_ASAP7_75t_L,OAI211xp5_ASAP7_75t_L,174.000,174.000,0.000,44.730,2054.423,-2009.693,0.022,1,1,0,4.500,4.500,4.500,4.500,0,0,0.500,1.200,2.500,0.050
benchmarks/ode.abc.blif,7,5229,5219,0,1,1,1,5,blocked-parent-phase,0,0,1,2,1,OA211x2_ASAP7_75t_L,AOI211xp5_ASAP7_75t_L,177.340,177.330,0.010,45.200,2412.618,-2367.418,0.019,1,1,0,4.500,4.500,4.500,4.500,0,0,0.500,1.200,2.500,0.050
benchmarks/ode.abc.blif,8,5229,5219,0,1,1,1,11,blocked-parent-phase,0,0,0,3,1,OA221x2_ASAP7_75t_L,OA211x2_ASAP7_75t_L,178.170,177.340,0.830,47.066,45.200,1.866,1.041,1,1,0,8.600,4.500,8.600,4.500,0,0,0.500,1.200,2.500,0.050
benchmarks/ode.abc.blif,9,5229,5219,0,1,2,0,5,blocked-drive,0,0,0,2,1,OAI211xp5_ASAP7_75t_L,OAI211xp5_ASAP7_75t_L,173.970,173.970,0.000,1.400,1.400,0.000,1.000,1,1,0,4.500,4.500,4.500,4.500,0,0,0.500,1.200,2.500,0.050
benchmarks/ode.abc.blif,19,5229,5219,0,1,3,0,5,blocked-drive,0,0,0,2,1,OAI211xp5_ASAP7_75t_L,OAI211xp5_ASAP7_75t_L,173.970,173.970,0.000,1.400,1.400,0.000,1.000,1,1,0,4.500,4.500,4.500,4.500,0,0,0.500,1.200,2.500,0.050
benchmarks/or1200.abc.blif,2,13829,11491,1,0,0,1,0,blocked-mode,0,0,1,0,0,NOR2xp33_ASAP7_75t_L,?,46.230,34028234663852885981170418348451692544.000,-34028234663852885981170418348451692544.000,5.013,34028234663852885981170418348451692544.000,-34028234663852885981170418348451692544.000,0.000,5,0,1,2.500,34028234663852885981170418348451692544.000,0.500,34028234663852885981170418348451692544.000,0,1,0.500,1.200,2.500,0.050
benchmarks/or1200.abc.blif,7,13829,11491,1,0,1,1,0,blocked-mode,0,0,1,0,0,NOR2xp33_ASAP7_75t_L,A2O1A1O1Ixp25_ASAP7_75t_L,68.860,62.170,6.690,2.285,3.955,-1.669,0.578,5,1,1,2.500,31.200,0.500,31.200,1,1,0.500,1.200,2.500,0.050
benchmarks/or1200.abc.blif,9,13829,11491,1,0,1,1,2,blocked-mode,0,0,0,2,0,AOI21xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,69.620,68.860,0.760,2.440,2.285,0.155,1.068,2,5,0,4.333,2.500,2.167,0.500,0,0,0.500,1.200,2.500,0.050
benchmarks/or1200.abc.blif,12,13829,11491,1,0,2,0,2,blocked-parent-phase,0,0,1,2,0,AO21x2_ASAP7_75t_L,NAND2xp33_ASAP7_75t_L,72.480,74.800,-2.320,1.630,1.630,0.000,1.000,2,5,0,4.333,2.500,2.167,0.500,0,0,0.500,1.200,2.500,0.050
benchmarks/or1200.abc.blif,13,13829,11491,1,0,2,1,0,blocked-drive,0,0,0,0,0,NOR2xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,68.820,68.820,0.000,0.930,0.930,0.000,1.000,5,5,0,2.500,2.500,0.500,0.500,0,0,0.500,1.200,2.500,0.050
benchmarks/or1200.abc.blif,15,13829,11491,1,0,3,1,0,blocked-drive,0,0,0,0,0,NOR2xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,68.820,68.820,0.000,0.930,0.930,0.000,1.000,5,5,0,2.500,2.500,0.500,0.500,0,0,0.500,1.200,2.500,0.050
benchmarks/or1200.abc.blif,17,13829,11491,1,0,3,1,2,blocked-window,0,0,0,2,0,AOI21xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,69.580,68.820,0.760,1.170,0.930,0.240,1.258,2,5,0,4.333,2.500,2.167,0.500,0,0,0.500,1.200,2.500,0.050
benchmarks/syn2.abc.blif,5,18467,18002,1,1,0,1,7,blocked-mode,0,0,1,1,1,AOI31xp33_ASAP7_75t_L,OA21x2_ASAP7_75t_L,41.090,44.390,-3.300,6.170,7.321,-1.151,0.843,1,2,0,3.750,2.667,3.750,1.333,0,0,0.500,1.200,2.500,0.050
benchmarks/syn2.abc.blif,8,18467,18002,1,1,1,1,7,blocked-mode,0,0,1,1,1,AOI31xp33_ASAP7_75t_L,AOI31xp33_ASAP7_75t_L,40.280,40.280,0.000,4.216,6.170,-1.955,0.683,1,1,0,3.750,3.750,3.750,3.750,0,0,0.500,1.200,2.500,0.050
benchmarks/syn2.abc.blif,9,18467,18002,1,1,1,1,12,blocked-mode,0,0,1,1,1,AOI32xp33_ASAP7_75t_L,AOI31xp33_ASAP7_75t_L,41.640,40.280,1.360,3.872,4.216,-0.344,0.918,1,1,0,4.200,3.750,4.200,3.750,0,0,0.500,1.200,2.500,0.050
benchmarks/syn2.abc.blif,12,18467,18002,1,1,2,1,12,blocked-drive,0,0,0,1,1,AOI32xp33_ASAP7_75t_L,AOI32xp33_ASAP7_75t_L,41.640,41.640,0.000,1.630,1.630,0.000,1.000,1,1,0,4.200,4.200,4.200,4.200,0,0,0.500,1.200,2.500,0.050
benchmarks/syn2.abc.blif,21,18467,18002,1,1,3,0,12,blocked-parent-phase,0,0,0,1,1,AO32x2_ASAP7_75t_L,A2O1A1Ixp33_ASAP7_75t_L,44.750,47.520,-2.770,2.100,1.170,0.930,1.795,1,1,0,4.200,22.750,4.200,22.750,1,1,0.500,1.200,2.500,0.050
benchmarks/syn2.abc.blif,24,18467,18002,1,1,3,1,12,blocked-drive,0,0,0,1,1,AOI32xp33_ASAP7_75t_L,AOI32xp33_ASAP7_75t_L,41.640,41.640,0.000,1.630,1.630,0.000,1.000,1,1,0,4.200,4.200,4.200,4.200,0,0,0.500,1.200,2.500,0.050
