benchmark,index,parent_aig,child_aig,mapper_mode,phase,cut_ordinal,reason,viable,selected_update,node,level,refs,gate,leaves,u_phase_best,fanout_limit,arrival,required,slack,area_flow,best_gate,best_arrival,best_area_flow,child_leaf_index,child_requested_phase,child_inverted_pin,leaf0_aig_id,leaf0_phase,leaf1_aig_id,leaf1_phase,leaf2_aig_id,leaf2_phase,leaf3_aig_id,leaf3_phase,leaf4_aig_id,leaf4_phase,leaf5_aig_id,leaf5_phase
benchmarks/i10.aig,1,861,855,0,0,0,accepted-best,1,1,615,20,2,NAND2xp33_ASAP7_75t_L,2,2,5,85.730,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,2.625,?,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,-1,-1,-1,799,1,856,0,-1,-1,-1,-1,-1,-1,-1,-1
benchmarks/i10.aig,2,861,855,0,0,1,no-supers,0,0,615,20,2,?,3,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,NAND2xp33_ASAP7_75t_L,85.730,2.625,-1,-1,-1,746,-1,749,-1,856,-1,-1,-1,-1,-1,-1,-1
benchmarks/i10.aig,3,861,855,0,0,2,no-super-best,0,0,615,20,2,?,3,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,NAND2xp33_ASAP7_75t_L,85.730,2.625,2,-1,-1,799,-1,850,-1,855,-1,-1,-1,-1,-1,-1,-1
benchmarks/i10.aig,4,861,855,0,0,3,accepted-best,1,1,615,20,2,NAND3xp33_ASAP7_75t_L,3,7,2,85.650,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,20.949,NAND2xp33_ASAP7_75t_L,85.730,2.625,-1,-1,-1,797,0,798,0,856,0,-1,-1,-1,-1,-1,-1
benchmarks/i10.aig,5,861,855,0,0,4,accepted-best,1,1,615,20,2,OAI21xp33_ASAP7_75t_L,3,4,2,84.950,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,19.800,NAND3xp33_ASAP7_75t_L,85.650,20.949,-1,-1,-1,751,1,795,1,856,0,-1,-1,-1,-1,-1,-1
benchmarks/i10.aig,6,861,855,0,0,5,no-supers,0,0,615,20,2,?,4,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI21xp33_ASAP7_75t_L,84.950,19.800,-1,-1,-1,737,-1,736,-1,746,-1,856,-1,-1,-1,-1,-1
benchmarks/i10.aig,7,861,855,0,0,6,no-supers,0,0,615,20,2,?,4,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI21xp33_ASAP7_75t_L,84.950,19.800,-1,-1,-1,734,-1,735,-1,746,-1,856,-1,-1,-1,-1,-1
benchmarks/i10.aig,8,861,855,0,0,7,accepted-best,1,1,615,20,2,OAI211xp5_ASAP7_75t_L,4,3,1,82.580,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,72.231,OAI21xp33_ASAP7_75t_L,84.950,19.800,3,1,0,797,0,798,0,850,1,855,1,-1,-1,-1,-1
benchmarks/i10.aig,9,861,855,0,0,8,no-super-best,0,0,615,20,2,?,4,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI211xp5_ASAP7_75t_L,82.580,72.231,3,-1,-1,2,-1,627,-1,799,-1,855,-1,-1,-1,-1,-1
benchmarks/i10.aig,10,861,855,0,0,9,no-supers,0,0,615,20,2,?,4,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI211xp5_ASAP7_75t_L,82.580,72.231,-1,-1,-1,739,-1,745,-1,749,-1,856,-1,-1,-1,-1,-1
benchmarks/i10.aig,11,861,855,0,0,10,no-super-best,0,0,615,20,2,?,4,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI211xp5_ASAP7_75t_L,82.580,72.231,-1,-1,-1,799,-1,850,-1,809,-1,854,-1,-1,-1,-1,-1
benchmarks/i10.aig,12,861,855,0,0,11,no-supers,0,0,615,20,2,?,4,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI211xp5_ASAP7_75t_L,82.580,72.231,3,-1,-1,746,-1,749,-1,850,-1,855,-1,-1,-1,-1,-1
benchmarks/i10.aig,13,861,855,0,0,12,accepted-best,1,1,615,20,2,OAI22xp33_ASAP7_75t_L,4,0,1,81.550,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,71.082,OAI211xp5_ASAP7_75t_L,82.580,72.231,3,1,0,751,1,795,1,850,1,855,1,-1,-1,-1,-1
benchmarks/i10.aig,14,861,855,0,0,13,no-super-best,0,0,615,20,2,?,4,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,736,-1,746,-1,795,-1,856,-1,-1,-1,-1,-1
benchmarks/i10.aig,15,861,855,0,0,14,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,624,-1,629,-1,799,-1,850,-1,854,-1,-1,-1
benchmarks/i10.aig,16,861,855,0,0,15,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,4,-1,-1,737,-1,736,-1,746,-1,850,-1,855,-1,-1,-1
benchmarks/i10.aig,17,861,855,0,0,16,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,-1,-1,-1,2,-1,627,-1,799,-1,809,-1,854,-1,-1,-1
benchmarks/i10.aig,18,861,855,0,0,17,no-supers,0,0,615,20,2,?,5,0,-1,34028234663852885981170418348451692544.000,34028234663852885981170418348451692544.000,0.000,34028234663852885981170418348451692544.000,OAI22xp33_ASAP7_75t_L,81.550,71.082,4,-1,-1,734,-1,735,-1,746,-1,850,-1,855,-1,-1,-1
