benchmark,index,target_aig,target_phase,mapper_mode,phase,cut_ordinal,action,eligible,override,accepted_before,exact_mode,best_area_zero,relaxed_window_used,gate,best_gate,arrival,best_arrival,arrival_delta,area_flow,best_area_flow,area_premium,area_ratio,candidate_fanout_limit,best_fanout_limit,fanout_limit_improved,candidate_cut_leaf_load_avg,best_cut_leaf_load_avg,candidate_load_drive_ratio,best_load_drive_ratio,load_drive_improved,load_drive_material,material_drive,arrival_window,area_premium_window,exact_area_premium_window,area_ratio_window,load_drive_ratio_min_gain,load_drive_ratio_material_gain
benchmarks/i10.aig,1,855,0,0,0,0,blocked-mode,0,0,1,0,0,0,NAND2xp33_ASAP7_75t_L,?,71.960,34028234663852885981170418348451692544.000,-34028234663852885981170418348451692544.000,16.089,34028234663852885981170418348451692544.000,-34028234663852885981170418348451692544.000,0.000,5,0,1,3.500,34028234663852885981170418348451692544.000,0.700,34028234663852885981170418348451692544.000,0,0,1,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/i10.aig,2,855,0,0,0,2,blocked-mode,0,0,1,0,0,0,NAND3xp33_ASAP7_75t_L,NAND2xp33_ASAP7_75t_L,71.710,71.960,-0.250,15.529,16.089,-0.560,0.965,2,5,0,24.000,3.500,12.000,0.700,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/i10.aig,3,855,0,0,0,4,blocked-mode,0,0,1,0,0,0,NAND4xp25_ASAP7_75t_L,NAND3xp33_ASAP7_75t_L,71.290,71.710,-0.420,33.939,15.529,18.410,2.186,1,2,0,9.500,24.000,9.500,12.000,1,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/i10.aig,4,855,0,0,0,19,blocked-mode,0,0,1,0,0,0,NAND5xp2_ASAP7_75t_L,NAND4xp25_ASAP7_75t_L,71.230,71.290,-0.060,23.790,33.939,-10.149,0.701,1,1,0,10.400,9.500,10.400,9.500,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/i10.aig,8,855,0,1,0,19,blocked-drive,0,0,1,0,0,0,NAND5xp2_ASAP7_75t_L,NAND5xp2_ASAP7_75t_L,71.320,71.320,0.000,3.880,23.790,-19.910,0.163,1,1,0,10.400,10.400,10.400,10.400,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/i10.aig,10,855,0,2,0,19,blocked-drive,0,0,0,1,0,0,NAND5xp2_ASAP7_75t_L,NAND5xp2_ASAP7_75t_L,71.320,71.320,0.000,1.630,1.630,0.000,1.000,1,1,0,10.400,10.400,10.400,10.400,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/i10.aig,12,855,0,3,0,19,blocked-drive,0,0,0,1,0,0,NAND5xp2_ASAP7_75t_L,NAND5xp2_ASAP7_75t_L,71.320,71.320,0.000,1.630,1.630,0.000,1.000,1,1,0,10.400,10.400,10.400,10.400,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/ode.abc.blif,4,5219,1,0,1,0,blocked-mode,0,0,1,0,0,0,NOR2xp33_ASAP7_75t_L,?,164.930,34028234663852885981170418348451692544.000,-34028234663852885981170418348451692544.000,459.939,34028234663852885981170418348451692544.000,-34028234663852885981170418348451692544.000,0.000,5,0,1,1.500,34028234663852885981170418348451692544.000,0.300,34028234663852885981170418348451692544.000,0,0,1,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/ode.abc.blif,5,5219,1,0,1,1,blocked-mode,0,0,1,0,0,0,AOI21xp33_ASAP7_75t_L,NOR2xp33_ASAP7_75t_L,164.840,164.930,-0.090,307.729,459.939,-152.210,0.669,2,5,0,3.000,1.500,1.500,0.300,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
benchmarks/ode.abc.blif,6,5219,1,0,1,4,blocked-mode,0,0,1,0,0,0,O2A1O1Ixp33_ASAP7_75t_L,AOI21xp33_ASAP7_75t_L,162.400,164.840,-2.440,1022.970,307.729,715.241,3.324,1,2,0,3.250,3.000,3.250,1.500,0,0,0,0.750,1.200,2.200,2.500,0.050,2.000
