benchmark,watch_index,aig_id,phase,top_node,top_gate,top_criticality,top_slack,top_load_ratio,final_fanouts,node_fanouts,co_fanouts,best_fanout_node,best_fanout_aig_id,best_fanout_phase,best_fanout_gate,best_fanout_criticality,best_fanout_slack
benchmarks/i10.aig,0,855,0,732,NAND5xp2_ASAP7_75t_L,1.000,0.000000,0.313,8,8,0,734,861,1,AOI22xp5_ASAP7_75t_L,1.000,0.000000
benchmarks/i10.aig,0,855,1,635,NOR4xp25_ASAP7_75t_L,0.996,0.139130,0.196,5,5,0,724,860,1,NOR4xp25_ASAP7_75t_L,0.996,0.139130
benchmarks/i10.aig,1,861,0,742,OAI22xp5_ASAP7_75t_L,0.807,6.904266,0.074,4,4,0,844,943,0,NAND3xp33_ASAP7_75t_L,0.823,6.342545
benchmarks/i10.aig,1,861,1,734,AOI22xp5_ASAP7_75t_L,1.000,0.000000,0.087,5,5,0,1278,862,1,NOR2xp33_ASAP7_75t_L,1.000,0.000000
benchmarks/ode.abc.blif,0,5219,1,5087,O2A1O1Ixp33_ASAP7_75t_L,1.000,0.000000,0.338,9,9,0,5093,5229,0,OAI211xp5_ASAP7_75t_L,1.000,0.000000
benchmarks/ode.abc.blif,1,5229,0,5093,OAI211xp5_ASAP7_75t_L,1.000,0.000000,0.135,5,5,0,5094,5231,0,NAND2x1_ASAP7_75t_L,1.000,0.000000
benchmarks/or1200.abc.blif,0,11491,0,7027,OAI22x1_ASAP7_75t_L,1.000,0.000061,0.048,5,4,1,7932,13836,0,A2O1A1Ixp33_ASAP7_75t_L,1.000,0.000000
benchmarks/or1200.abc.blif,1,13829,0,7949,INVxp33_ASAP7_75t_L,0.908,9.320374,0.084,2,2,0,7950,13843,0,A2O1A1Ixp33_ASAP7_75t_L,0.965,3.558228
benchmarks/or1200.abc.blif,1,13829,1,7928,NOR2x1_ASAP7_75t_L,0.984,1.636658,0.027,3,3,0,7929,13837,0,A2O1A1O1Ixp25_ASAP7_75t_L,0.984,1.636597
benchmarks/syn2.abc.blif,0,18002,1,11965,NOR2xp33_ASAP7_75t_L,1.000,0.000000,0.234,6,6,0,12170,18467,1,AOI32xp33_ASAP7_75t_L,1.000,0.000000
benchmarks/syn2.abc.blif,1,18467,1,12170,AOI32xp33_ASAP7_75t_L,1.000,0.000000,0.121,3,3,0,12313,18513,1,AND4x1_ASAP7_75t_L,1.000,0.000000
